name;url;data_types;default_tasks;attribute_types;no_instances;no_attribues;year
Abalone;https://archive.ics.uci.edu/ml/datasets/Abalone;Multivariate;Classification;Categorical$Integer$Real;4177;8;1995
Adult;https://archive.ics.uci.edu/ml/datasets/Adult;Multivariate;Classification;Categorical$Integer;48842;14;1996
Annealing;https://archive.ics.uci.edu/ml/datasets/Annealing;Multivariate;Classification;Categorical$Integer$Real;798;38;
Anonymous Microsoft Web Data;https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data;;Recommender-Systems;Categorical;37711;294;1998
Arrhythmia;https://archive.ics.uci.edu/ml/datasets/Arrhythmia;Multivariate;Classification;Categorical$Integer$Real;452;279;1998
Artificial Characters;https://archive.ics.uci.edu/ml/datasets/Artificial+Characters;Multivariate;Classification;Categorical$Integer$Real;6000;7;1992
Audiology (Original);https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29;Multivariate;Classification;Categorical;226;;1987
Audiology (Standardized);https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29;Multivariate;Classification;Categorical;226;69;1992
Auto MPG;https://archive.ics.uci.edu/ml/datasets/Auto+MPG;Multivariate;Regression;Categorical$Real;398;8;1993
Automobile;https://archive.ics.uci.edu/ml/datasets/Automobile;Multivariate;Regression;Categorical$Integer$Real;205;26;1987
Badges;https://archive.ics.uci.edu/ml/datasets/Badges;Univariate$Text;Classification;;294;1;1994
Balance Scale;https://archive.ics.uci.edu/ml/datasets/Balance+Scale;Multivariate;Classification;Categorical;625;4;1994
Balloons;https://archive.ics.uci.edu/ml/datasets/Balloons;Multivariate;Classification;Categorical;16;4;
Breast Cancer;https://archive.ics.uci.edu/ml/datasets/Breast+Cancer;Multivariate;Classification;Categorical;286;9;1988
Breast Cancer Wisconsin (Original);https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29;Multivariate;Classification;Integer;699;10;1992
Breast Cancer Wisconsin (Prognostic);https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29;Multivariate;Classification$Regression;Real;198;34;1995
Breast Cancer Wisconsin (Diagnostic);https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29;Multivariate;Classification;Real;569;32;1995
Pittsburgh Bridges;https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges;Multivariate;Classification;Categorical$Integer;108;13;1990
Car Evaluation;https://archive.ics.uci.edu/ml/datasets/Car+Evaluation;Multivariate;Classification;Categorical;1728;6;1997
