,algorithm,k,n_samples,n_features,similar_to_baseline,average_time,average_time_std
0,faiss,3,100,10,True,0.0001686718498571428,3.405135354352311e-05
1,rbf_kernel,3,100,10,True,0.0003894316485714286,3.520368500073102e-05
2,RBF,3,100,10,True,6.942249699999995e-05,5.334244032129609e-06
3,pairwise_kernels,3,100,10,True,0.0004260268824285714,3.738007179797082e-05
4,faiss,3,100,50,True,0.0002002305977142854,4.007670200838976e-05
5,rbf_kernel,3,100,50,True,0.00048043236728571463,7.719610888907856e-05
6,RBF,3,100,50,True,8.749947199999982e-05,7.232819566002873e-06
7,pairwise_kernels,3,100,50,True,0.0005982100914285716,7.223611148030253e-05
8,faiss,3,100,150,True,0.00023401534657142877,0.00010178470757517338
9,rbf_kernel,3,100,150,True,0.0006332723538571433,0.0001383280217504311
10,RBF,3,100,150,True,0.00011444632371428553,1.2622311131034048e-05
11,pairwise_kernels,3,100,150,True,0.0006146349977142849,8.638696513457703e-05
12,faiss,3,1000,10,True,0.00019696839371428663,1.0521278109192893e-05
13,rbf_kernel,3,1000,10,True,0.000509649088714285,2.6545610764013282e-05
14,RBF,3,1000,10,True,0.00010728799357142853,3.5883700321121158e-06
15,pairwise_kernels,3,1000,10,True,0.0005230959721428558,1.571434717589864e-05
16,faiss,3,1000,50,True,0.00023944896500000112,1.2396769197613594e-05
17,rbf_kernel,3,1000,50,True,0.0006580156901428568,3.06482665213359e-05
18,RBF,3,1000,50,True,0.00019442359100000113,3.8078294599381034e-06
19,pairwise_kernels,3,1000,50,True,0.0006742005184285733,1.442427600374518e-05
20,faiss,3,1000,150,True,0.0003455868622857139,2.6979819572428722e-05
21,rbf_kernel,3,1000,150,True,0.0010611863359999986,3.586287585790268e-05
22,RBF,3,1000,150,True,0.0004863741974285714,1.3559030176773623e-05
23,pairwise_kernels,3,1000,150,True,0.0010958555322857148,2.2295005925780702e-05
24,faiss,3,10000,10,True,0.0006027087618571443,3.438679232732535e-05
25,rbf_kernel,3,10000,10,True,0.001530240626857142,5.065428237122548e-05
26,RBF,3,10000,10,True,0.0005735205407142802,1.7556460938650214e-05
